0.000000	0.905578	What
0.893968	1.648617	Hmm
1.648617	2.333605	hey
2.333605	3.435102	hey
3.435102	4.131701	hey
4.131701	6.269388	rest me bones
6.269388	7.546485	get em
7.546485	8.521723	what was that
8.521723	9.845261	quiet out
9.845261	10.983039	jumpy
10.983039	12.701315	jumpin shadows
12.701315	13.746213	intruder
13.746213	14.837551	ahh
14.837551	16.137868	ahh
16.137868	17.229206	whistle
17.229206	18.413424	whistle
18.413424	19.690522	where they go
19.690522	20.665760	lost em
20.665760	21.896417	oh well
21.896417	23.152585	must have run
23.152585	25.588390	his holiness
25.588390	28.519909	the boss
28.519909	31.619773	case of the jitters
31.619773	33.036190	what was that
33.036190	34.528073	must be seeing
34.528073	36.037370	what's in my coffee
36.037370	38.196825	come out come out
38.196825	40.333061	we're coming for you
40.333061	42.399637	coffee too strong
42.399637	44.823832	who goes there
43.862494	44.326893	huh
44.326893	45.255692	what
45.255692	45.836190	wha
45.836190	46.207710	wait
46.207710	47.368707	who that
47.368707	48.343946	who there
48.343946	49.017324	hey
49.017324	49.017324	hmmm
49.922902	50.991020	what moved
50.991020	52.871837	what in the shadows
52.871837	54.148934	shadow move
54.148934	55.193832	see something
55.193832	55.193832	hello
55.797551	56.447710	hark
56.447710	57.353288	noise
57.353288	59.118005	heard something
59.118005	60.023583	what was that
60.023583	60.743401	where
60.743401	61.556100	coming
61.556100	62.438458	here I come
62.438458	63.738776	to arms
63.738776	64.412154	what is it
64.412154	64.946213	halt
64.946213	66.641270	see you
66.641270	67.941587	coming for you
67.941587	69.149025	ill get you
69.149025	70.170703	a goner
70.170703	71.749660	just you wait
71.749660	73.073197	you wont get away
73.073197	74.536054	no you dont
74.536054	75.186213	thief
75.186213	75.951859	thief
75.951859	76.671678	thief
76.671678	77.623696	after them
77.623696	79.156825	noise again
79.156825	80.608685	 someone there
80.608685	81.920000	who could that be
81.920000	82.872018	there it is again
82.872018	84.086327	what was that
84.086327	84.852585	what was that
84.852585	86.425578	better check it out
86.425578	88.468163	what keeps making those noises
88.468163	89.926735	better be rats
89.926735	90.609728	again
90.609728	93.697982	huff puff give up
93.697982	94.766100	where did he go
94.766100	96.345057	drats lost him
96.345057	97.111315	gone
97.111315	98.406168	come back here
98.406168	100.124444	rotten scoundrel
100.124444	101.726621	aargh
101.726621	102.957279	not coming back
102.957279	103.793197	blast
103.793197	105.070295	dont come back
105.070295	106.022313	guess nothing
106.022313	107.740590	wonder it was
107.740590	109.180227	back to post
109.180227	110.968163	quiet now
110.968163	112.431020	sure I heard something
112.431020	114.427937	not there anymore
114.427937	115.310295	probably nothing
115.310295	116.331973	hmm nothing
116.331973	117.585850	cant hear now
117.585850	120.813424	well I though I saw
120.813424	121.301043	nothing
121.301043	122.833560	seeing things
122.833560	124.110658	hopefully nothing
124.110658	125.666395	seeing things
125.666395	127.291791	hearing things
127.291791	128.383129	take that
128.383129	128.986848	oof
128.986848	129.497687	uh
129.497687	130.054966	ah
130.054966	130.658685	ah
130.658685	131.842902	ha ya
131.842902	132.911020	ha ya
132.911020	133.932698	ha ya
133.932698	136.626213	for his holiness
136.626213	139.122971	wont get away next time
139.122971	142.250635	oh no it's a thief
142.250635	146.517914	i dont know why i work here
146.517914	148.189751	waste of my time
148.189751	150.145420	why do I even try
150.145420	152.676395	i dont know how to whistle
152.676395	153.605193	ugh
153.605193	155.787868	lousy day at work
155.787868	158.411723	i give up
158.411723	161.290998	what is thy business
161.290998	164.239932	no mercy for the wicked
164.239932	166.631587	oh no he got away
166.631587	177.978050	what do i do help me
187.405215	190.453447	at least Im not on cleaning duty
190.453447	191.658594	aww
191.658594	193.807052	at least my shift ends soon
193.807052	195.737823	what do you want me to do about it
195.790658	238.341837	guard rant
